MUNICIPIO,DF,DL,SECCION,TIPO,GOB_2019,PM_2019,DL_2019,GOB_2021,PM_2021,DL_2021,PM_2024,DL_2024,ESTRAT_CEN,CLASIFICACION,PRIORIDAD,PERFIL,CLASE,LN_FEB_26,MORENA_PM_2024,DIF_PM24,META
TIJUANA,4,7,1422,URBANO(A),62,55,64,25,55,44,31,11,NO,SWITCH,1,POBLACION INDIGENA,MEDIA BAJA,1387,382,351,383
TIJUANA,4,7,1423,URBANO(A),18,15,22,9,28,20,19,5,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,995,261,242,262
TIJUANA,4,7,1424,URBANO(A),28,20,27,15,26,22,24,13,NO,OPOSITOR,3,POBLACION INDIGENA,MEDIA,1866,446,422,447
TIJUANA,4,7,1425,URBANO(A),42,43,47,20,52,29,23,11,NO,SWITCH,1,JOVENES,MEDIA,1866,485,462,486
TIJUANA,4,7,1426,URBANO(A),25,18,20,17,44,17,29,15,NO,SWITCH,1,JOVENES,MEDIA ALTA,1371,335,306,336
TIJUANA,4,7,1427,URBANO(A),38,26,40,24,58,40,23,22,NO,SWITCH,1,MIXTO,MEDIA ALTA,1949,556,533,557
TIJUANA,4,7,1428,URBANO(A),60,55,69,20,67,31,37,23,NO,SWITCH,1,POBLACION INDIGENA,MEDIA BAJA,2759,697,660,698
TIJUANA,4,7,1429,URBANO(A),29,23,26,14,35,13,26,6,NO,SWITCH,1,JOVENES,MEDIA,1730,401,375,402
TIJUANA,4,7,1430,URBANO(A),27,22,26,5,23,14,12,7,NO,SWITCH,1,JOVENES,MEDIA BAJA,923,185,173,186
TIJUANA,4,7,1431,URBANO(A),42,36,31,17,45,27,20,10,NO,SWITCH,1,JOVENES,MEDIA BAJA,2009,434,414,435
TIJUANA,4,7,1432,URBANO(A),24,27,28,7,39,22,27,11,NO,SWITCH,1,JOVENES,MEDIA,1473,352,325,353
TIJUANA,4,7,1433,URBANO(A),17,9,17,5,40,11,28,16,NO,SWITCH,1,JOVENES,MEDIA,1203,282,254,283
TIJUANA,4,6,1434,URBANO(A),45,38,41,13,41,17,32,17,NO,OPOSITOR,3,DISCAPACITADOS,MEDIA,1692,452,420,453
TIJUANA,4,6,1435,URBANO(A),20,15,22,8,32,11,16,8,NO,OPOSITOR,3,JOVENES,MEDIA BAJA,864,210,194,211
TIJUANA,4,6,1436,URBANO(A),36,33,34,20,46,20,17,11,NO,OPOSITOR,3,DISCAPACITADOS,MEDIA,1228,346,329,347
TIJUANA,4,6,1437,URBANO(A),25,25,30,11,35,20,31,23,NO,OPOSITOR,3,POBLACION INDIGENA,MEDIA,1164,303,272,304
TIJUANA,4,6,1438,URBANO(A),17,10,12,7,27,9,11,10,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,1294,334,323,335
TIJUANA,4,6,1439,URBANO(A),41,31,39,19,48,25,14,13,NO,SWITCH,1,JOVENES,MEDIA BAJA,1147,284,270,285
TIJUANA,4,6,1440,URBANO(A),62,53,65,23,51,24,22,16,NO,SWITCH,1,JOVENES,MEDIA BAJA,2115,413,391,414
TIJUANA,4,6,1441,URBANO(A),34,29,31,15,38,19,22,16,NO,SWITCH,1,DISCAPACITADOS,MEDIA,1482,336,314,337
TIJUANA,4,6,1442,URBANO(A),21,19,19,20,33,13,18,12,NO,SWITCH,1,JOVENES,MEDIA,1472,192,174,193
TIJUANA,4,7,1443,URBANO(A),12,11,15,12,24,13,19,5,NO,OPOSITOR,3,JOVENES,MEDIA,920,210,191,211
TIJUANA,4,7,1444,URBANO(A),19,14,16,4,28,7,10,7,NO,SWITCH,1,DISCAPACITADOS,MEDIA,887,236,226,237
TIJUANA,4,7,1445,URBANO(A),21,18,21,8,25,15,20,6,NO,OPOSITOR,3,JOVENES,MEDIA,1177,240,220,241
